Treatment,PlantID,GrowthStage,Weeks_to
MP,MP-Sb-6,13,11
MP,MP-Sb-6,14,NA
MP,MP-Sb-6,15,NA
MP,MP-Sb-7,-1,1
MP,MP-Sb-7,0,2
MP,MP-Sb-7,1,3
MP,MP-Sb-7,2,4
MP,MP-Sb-7,3,5.5
MP,MP-Sb-7,4,6
MP,MP-Sb-7,5,6.5
MP,MP-Sb-7,6,7
MP,MP-Sb-7,7,7.5
MP,MP-Sb-7,8,8
MP,MP-Sb-7,9,8.5
MP,MP-Sb-7,10,9
MP,MP-Sb-7,11,10
MP,MP-Sb-7,12,NA
MP,MP-Sb-7,13,NA
MP,MP-Sb-7,14,NA
MP,MP-Sb-7,15,NA
MP,MP-Sb-8,-1,1
MP,MP-Sb-8,0,2
MP,MP-Sb-8,1,3
MP,MP-Sb-8,2,5
MP,MP-Sb-8,3,5.5
MP,MP-Sb-8,4,6
MP,MP-Sb-8,5,6.5
MP,MP-Sb-8,6,7
MP,MP-Sb-8,7,7.5
MP,MP-Sb-8,8,8
MP,MP-Sb-8,9,8.5
MP,MP-Sb-8,10,9
MP,MP-Sb-8,11,10
MP,MP-Sb-8,12,11
MP,MP-Sb-8,13,12
MP,MP-Sb-8,14,NA
MP,MP-Sb-8,15,NA
MP,MP-MBB-1,-1,1
MP,MP-MBB-1,0,2
MP,MP-MBB-1,1,3
MP,MP-MBB-1,2,4
MP,MP-MBB-1,3,6
MP,MP-MBB-1,4,6.5
MP,MP-MBB-1,5,7
MP,MP-MBB-1,6,7.5
MP,MP-MBB-1,7,8
MP,MP-MBB-1,8,8.5
MP,MP-MBB-1,9,9
MP,MP-MBB-1,10,10
MP,MP-MBB-1,11,10.5
MP,MP-MBB-1,12,11
MP,MP-MBB-1,13,NA
MP,MP-MBB-1,14,NA
MP,MP-MBB-1,15,NA
MP,MP-MBB-2,-1,1
MP,MP-MBB-2,0,2
MP,MP-MBB-2,1,3
MP,MP-MBB-2,2,4
MP,MP-MBB-2,3,5
MP,MP-MBB-2,4,5.5
MP,MP-MBB-2,5,6
MP,MP-MBB-2,6,6.5
MP,MP-MBB-2,7,7
MP,MP-MBB-2,8,7.5
MP,MP-MBB-2,9,8
MP,MP-MBB-2,10,8.5
MP,MP-MBB-2,11,9
MP,MP-MBB-2,12,10
MP,MP-MBB-2,13,11
MP,MP-MBB-2,14,NA
MP,MP-MBB-2,15,NA
MP,MP-MBB-3,-1,1
MP,MP-MBB-3,0,2
MP,MP-MBB-3,1,3
MP,MP-MBB-3,2,5
MP,MP-MBB-3,3,6.5
MP,MP-MBB-3,4,7
MP,MP-MBB-3,5,8
MP,MP-MBB-3,6,8.5
MP,MP-MBB-3,7,9
MP,MP-MBB-3,8,10
MP,MP-MBB-3,9,11
MP,MP-MBB-3,10,11.25
MP,MP-MBB-3,11,11.75
MP,MP-MBB-3,12,12
MP,MP-MBB-3,13,NA
MP,MP-MBB-3,14,NA
MP,MP-MBB-3,15,NA
MP,MP-MBB-4,-1,1
MP,MP-MBB-4,0,2
MP,MP-MBB-4,1,3
MP,MP-MBB-4,2,4
MP,MP-MBB-4,3,5.5
MP,MP-MBB-4,4,6
MP,MP-MBB-4,5,6.5
MP,MP-MBB-4,6,7
MP,MP-MBB-4,7,7.5
MP,MP-MBB-4,8,8
MP,MP-MBB-4,9,9
MP,MP-MBB-4,10,10
MP,MP-MBB-4,11,11
MP,MP-MBB-4,12,12
MP,MP-MBB-4,13,NA
MP,MP-MBB-4,14,NA
MP,MP-MBB-4,15,NA
MP,MP-MBB-5,-1,1
MP,MP-MBB-5,0,2
MP,MP-MBB-5,1,3
MP,MP-MBB-5,2,4
MP,MP-MBB-5,3,5
MP,MP-MBB-5,4,6
MP,MP-MBB-5,5,6.5
MP,MP-MBB-5,6,7
MP,MP-MBB-5,7,7.5
MP,MP-MBB-5,8,8
MP,MP-MBB-5,9,9
MP,MP-MBB-5,10,10
MP,MP-MBB-5,11,10.5
MP,MP-MBB-5,12,11
MP,MP-MBB-5,13,12
MP,MP-MBB-5,14,NA
MP,MP-MBB-5,15,NA
MP,MP-MBB-6,-1,1
MP,MP-MBB-6,0,2
MP,MP-MBB-6,1,3
MP,MP-MBB-6,2,4
MP,MP-MBB-6,3,5
MP,MP-MBB-6,4,5.5
MP,MP-MBB-6,5,6
MP,MP-MBB-6,6,6.5
MP,MP-MBB-6,7,7
MP,MP-MBB-6,8,7.5
MP,MP-MBB-6,9,8
MP,MP-MBB-6,10,9
MP,MP-MBB-6,11,10
MP,MP-MBB-6,12,11
MP,MP-MBB-6,13,11.5
MP,MP-MBB-6,14,12
MP,MP-MBB-6,15,NA
MP,MP-MBB-7,-1,1
MP,MP-MBB-7,0,2
MP,MP-MBB-7,1,3
MP,MP-MBB-7,2,5
MP,MP-MBB-7,3,6
MP,MP-MBB-7,4,8
MP,MP-MBB-7,5,8.5
MP,MP-MBB-7,6,9
MP,MP-MBB-7,7,10
MP,MP-MBB-7,8,10.5
MP,MP-MBB-7,9,11
MP,MP-MBB-7,10,12
MP,MP-MBB-7,11,NA
MP,MP-MBB-7,12,NA
MP,MP-MBB-7,13,NA
MP,MP-MBB-7,14,NA
MP,MP-MBB-7,15,NA
MP,MP-MBB-8,-1,1
MP,MP-MBB-8,0,2
MP,MP-MBB-8,1,3
MP,MP-MBB-8,2,5
MP,MP-MBB-8,3,6
MP,MP-MBB-8,4,6.5
MP,MP-MBB-8,5,7
MP,MP-MBB-8,6,7.5
MP,MP-MBB-8,7,8
MP,MP-MBB-8,8,8.5
MP,MP-MBB-8,9,9
MP,MP-MBB-8,10,10
MP,MP-MBB-8,11,11
MP,MP-MBB-8,12,NA
MP,MP-MBB-8,13,NA
MP,MP-MBB-8,14,NA
MP,MP-MBB-8,15,NA
MP,MP-Pf-1,-1,1
MP,MP-Pf-1,0,2
MP,MP-Pf-1,1,3
MP,MP-Pf-1,2,4
MP,MP-Pf-1,3,5.5
MP,MP-Pf-1,4,6
MP,MP-Pf-1,5,6.5
MP,MP-Pf-1,6,7
MP,MP-Pf-1,7,7.5
MP,MP-Pf-1,8,8
MP,MP-Pf-1,9,9
MP,MP-Pf-1,10,10
MP,MP-Pf-1,11,10.5
MP,MP-Pf-1,12,11
MP,MP-Pf-1,13,11.5
MP,MP-Pf-1,14,12
MP,MP-Pf-1,15,NA
MP,MP-Pf-2,-1,1
MP,MP-Pf-2,0,2
MP,MP-Pf-2,1,3
MP,MP-Pf-2,2,4
MP,MP-Pf-2,3,5
MP,MP-Pf-2,4,6
MP,MP-Pf-2,5,6.25
MP,MP-Pf-2,6,6.75
MP,MP-Pf-2,7,7
MP,MP-Pf-2,8,8
MP,MP-Pf-2,9,8.5
MP,MP-Pf-2,10,9
MP,MP-Pf-2,11,9.5
MP,MP-Pf-2,12,10
MP,MP-Pf-2,13,11
MP,MP-Pf-2,14,NA
MP,MP-Pf-2,15,NA
MP,MP-Pf-3,-1,1
MP,MP-Pf-3,0,2
MP,MP-Pf-3,1,3
MP,MP-Pf-3,2,4
MP,MP-Pf-3,3,6
MP,MP-Pf-3,4,6.5
MP,MP-Pf-3,5,7
MP,MP-Pf-3,6,7.5
MP,MP-Pf-3,7,8
MP,MP-Pf-3,8,8.5
MP,MP-Pf-3,9,9
MP,MP-Pf-3,10,10.25
MP,MP-Pf-3,11,10.75
MP,MP-Pf-3,12,11
MP,MP-Pf-3,13,11.5
MP,MP-Pf-3,14,12
MP,MP-Pf-3,15,NA
MP,MP-Pf-4,-1,1
MP,MP-Pf-4,0,2
MP,MP-Pf-4,1,3
MP,MP-Pf-4,2,5
MP,MP-Pf-4,3,5.5
MP,MP-Pf-4,4,6
MP,MP-Pf-4,5,6.5
MP,MP-Pf-4,6,7
MP,MP-Pf-4,7,7.5
MP,MP-Pf-4,8,8
MP,MP-Pf-4,9,8.5
MP,MP-Pf-4,10,9
MP,MP-Pf-4,11,9.5
MP,MP-Pf-4,12,10
MP,MP-Pf-4,13,11
MP,MP-Pf-4,14,NA
MP,MP-Pf-4,15,NA
MP,MP-Pf-5,-1,1
MP,MP-Pf-5,0,2
MP,MP-Pf-5,1,3
MP,MP-Pf-5,2,4
MP,MP-Pf-5,3,5
MP,MP-Pf-5,4,5.5
MP,MP-Pf-5,5,6
MP,MP-Pf-5,6,6.5
MP,MP-Pf-5,7,7
MP,MP-Pf-5,8,8
MP,MP-Pf-5,9,9
MP,MP-Pf-5,10,9
MP,MP-Pf-5,11,10
MP,MP-Pf-5,12,11
MP,MP-Pf-5,13,12
MP,MP-Pf-5,14,NA
MP,MP-Pf-5,15,NA
MP,MP-Pf-6,-1,1
MP,MP-Pf-6,0,2
